Combined E. coli AMR data — Index

Sheet name,Source file,Original sheet / page,Description
D22 Occurrence cattle <1 year,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence cattle <1 year,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Samples investigated CP-pro,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Samples investigated CP-pro,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
D22 Occurrence retail & import,Annex D.1_ESBL_AmpC_CP-producers_EFSA-ECDC_EUSR_AMR_2022-2023.xlsm,Occurrence retail & import,ESBL/AmpC/CP-producing E. coli (EUSR 2022-2023) - Annex D.1  (Salmonella sheets dropped)
Y19 Cover page,E. coli_2019.xlsx,Cover page,Indicator E. coli AMR - 2019 reporting year (EFSA dashboard export)
Y19 Overview,E. coli_2019.xlsx,Overview,Indicator E. coli AMR - 2019 reporting year (EFSA dashboard export)
Y19 Occurrence of resistance,E. coli_2019.xlsx,Occurrence of resistance,Indicator E. coli AMR - 2019 reporting year (EFSA dashboard export)
Y19 Frequency distribution,E. coli_2019.xlsx,Frequency distribution,Indicator E. coli AMR - 2019 reporting year (EFSA dashboard export)
Y19 MDR patterns,E. coli_2019.xlsx,MDR patterns,Indicator E. coli AMR - 2019 reporting year (EFSA dashboard export)
Y19 MDR + CoR,E. coli_2019.xlsx,MDR + CoR,Indicator E. coli AMR - 2019 reporting year (EFSA dashboard export)
Y19 CS-MDR-CoR,E. coli_2019.xlsx,CS-MDR-CoR,Indicator E. coli AMR - 2019 reporting year (EFSA dashboard export)
Y19 HLR - CIP,E. coli_2019.xlsx,HLR - CIP,Indicator E. coli AMR - 2019 reporting year (EFSA dashboard export)
EX EC,E.coli.xlsx,EC,E. coli & ESBL dashboard export (year unspecified)
EX Overview EC,E.coli.xlsx,Overview EC,E. coli & ESBL dashboard export (year unspecified)
EX ESBL,E.coli.xlsx,ESBL,E. coli & ESBL dashboard export (year unspecified)
EX Overview ESBL,E.coli.xlsx,Overview ESBL,E. coli & ESBL dashboard export (year unspecified)
EX MDRP,E.coli.xlsx,MDRP,E. coli & ESBL dashboard export (year unspecified)
EX Com-Freq,E.coli.xlsx,Com-Freq,E. coli & ESBL dashboard export (year unspecified)
EX Co-R,E.coli.xlsx,Co-R,E. coli & ESBL dashboard export (year unspecified)
EX HR,E.coli.xlsx,HR,E. coli & ESBL dashboard export (year unspecified)
PC21 p01,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p01,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p02,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p02,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p03,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p03,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p04,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p04,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p05,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p05,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p06,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p06,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p07,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p07,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p08,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p08,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p09,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p09,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p10,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p10,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC21 p11,Annex C_E_coli_EUSR_AMR_2021-2022.pdf,p11,EUSR 2021-2022 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p01,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p01,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p02,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p02,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p03,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p03,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p04,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p04,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p05,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p05,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p06,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p06,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p07,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p07,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p08,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p08,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PC20 p09,Annex_C_E.coli_EUSR_AMR_2020-2021.pdf,p09,EUSR 2020-2021 Annex C: Indicator E. coli AMR  (extracted from PDF)
PD18 p01,Annex D - AMR in indicator E. coli.pdf,p01,EUSR 2018-2019 Annex D: Indicator E. coli AMR  (extracted from PDF)
PD18 p02,Annex D - AMR in indicator E. coli.pdf,p02,EUSR 2018-2019 Annex D: Indicator E. coli AMR  (extracted from PDF)
PD18 p03,Annex D - AMR in indicator E. coli.pdf,p03,EUSR 2018-2019 Annex D: Indicator E. coli AMR  (extracted from PDF)
PD18 p04,Annex D - AMR in indicator E. coli.pdf,p04,EUSR 2018-2019 Annex D: Indicator E. coli AMR  (extracted from PDF)
PD18 p05,Annex D - AMR in indicator E. coli.pdf,p05,EUSR 2018-2019 Annex D: Indicator E. coli AMR  (extracted from PDF)
PD18 p06,Annex D - AMR in indicator E. coli.pdf,p06,EUSR 2018-2019 Annex D: Indicator E. coli AMR  (extracted from PDF)
PD18 p07,Annex D - AMR in indicator E. coli.pdf,p07,EUSR 2018-2019 Annex D: Indicator E. coli AMR  (extracted from PDF)
PD20 p01,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p01,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p02,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p02,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p03,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p03,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p04,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p04,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p05,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p05,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p06,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p06,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p07,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p07,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p08,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p08,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p09,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p09,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p10,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p10,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p11,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p11,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p12,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p12,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p13,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p13,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p14,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p14,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p15,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p15,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p16,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p16,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p17,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p17,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p18,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p18,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p19,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p19,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p20,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p20,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p21,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p21,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p22,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p22,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p23,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p23,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p24,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p24,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p25,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p25,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p26,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p26,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p27,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p27,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p28,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p28,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p29,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p29,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p30,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p30,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p31,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p31,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p32,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p32,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p33,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p33,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p34,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p34,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p35,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p35,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p36,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p36,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p37,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p37,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
PD20 p38,Annex_D_ESBL_EUSR_AMR_2020-2021.pdf,p38,EUSR 2020-2021 Annex D: ESBL/AmpC/CP-producing E. coli  (extracted from PDF)
