Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
XI,170,1.2,0.0,3.5,30.6,0.0,0.0,0.0,0.0,14.1,14.1,0.0,0.0,18.8,12.9,17.6,50.0,15.3,0.0,0.0
Total (27 MSs + XI),4341,5.8,0.1,11.0,46.6,1.3,1.3,0.0,0.9,48.0,51.4,2.0,0.9,36.5,28.2,34.2,28.5,40.4,1.2,0.5
Median (MSs + XI),170,3.7,0.0,10.0,50.0,0.0,0.0,0.0,0.0,50.3,54.3,0.7,0.0,36.5,28.2,34.3,20.0,40.0,0.0,0.0
Iceland,85,1.2,1.2,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,9.4,10.6,80.0,8.2,0.0,0.0
Norway,363,0.0,0.0,0.6,7.4,0.0,0.0,0.0,0.3,8.0,9.1,0.0,0.0,4.1,3.3,5.5,79.3,1.9,0.0,0.0
Republic of North Macedonia,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Switzerland,229,1.7,0.0,0.4,14.8,0.4,0.4,0.0,0.0,33.6,34.1,0.0,0.0,16.2,10.0,8.7,51.1,13.1,0.0,0.0
Total (4 non-MSs),681,0.7,0.1,0.4,10.7,0.1,0.1,0.0,0.1,15.6,16.3,0.0,0.0,9.0,6.3,7.2,70.0,6.5,0.0,0.0
"Total (27 MSs, XI, and 4 non-MSs)",5022,5.1,0.1,9.6,41.8,1.1,1.1,0.0,0.8,43.6,46.7,1.7,0.8,45.5,34.5,41.4,34.1,35.8,1.0,0.4
"Median (MSs, XI, and non-MSs)",170,3.5,0.0,8.5,46.2,0.0,0.0,0.0,0.0,49.0,52.3,0.0,0.0,34.5,22.4,30.3,21.1,35.5,0.0,0.0
